,feature_comb,r2,mae,mpea,timecost,epochs,learning_rate,y_test_predict
32,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9467,0.0635,0.0209,2.3541,1000,0.001,"[[3.4609365]
 [3.488389 ]
 [3.518301 ]
 ...
 [2.8932037]
 [2.8837004]
 [2.886341 ]]"
33,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9305,0.0596,0.02,23.4988,10000,0.1,"[[3.393303 ]
 [3.3905888]
 [3.4124904]
 ...
 [2.9723294]
 [2.9234772]
 [2.9492245]]"
34,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9854,0.0326,0.0103,23.64,10000,0.01,"[[3.3669238]
 [3.3621905]
 [3.380968 ]
 ...
 [2.8415809]
 [2.824149 ]
 [2.82354  ]]"
35,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9151,0.0623,0.021,24.1879,10000,0.001,"[[3.3968546]
 [3.3900511]
 [3.4150376]
 ...
 [3.049086 ]
 [3.020583 ]
 [3.0199757]]"
36,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9216,0.0695,0.0209,0.2882,100,0.1,"[[3.6333938]
 [3.6333938]
 [3.6333938]
 ...
 [2.7534018]
 [2.7506008]
 [2.7481031]]"
37,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.7489,0.1508,0.0487,0.2377,100,0.01,"[[3.4077244]
 [3.5049453]
 [3.5359035]
 ...
 [2.9197955]
 [2.9197955]
 [2.9197955]]"
38,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",-1.5454,0.5468,0.1684,0.2131,100,0.001,"[[2.8337803]
 [2.8501494]
 [2.8767676]
 ...
 [2.4290435]
 [2.4290435]
 [2.4290435]]"
39,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9775,0.0437,0.0135,2.3592,1000,0.1,"[[3.4368217]
 [3.4406533]
 [3.4638202]
 ...
 [2.7308068]
 [2.71803  ]
 [2.7173734]]"
40,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9819,0.0371,0.0118,2.4595,1000,0.01,"[[3.4011133]
 [3.3998597]
 [3.414821 ]
 ...
 [2.6997502]
 [2.6913574]
 [2.6867619]]"
41,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9309,0.0748,0.023,2.3016,1000,0.001,"[[3.4143796]
 [3.407847 ]
 [3.42738  ]
 ...
 [2.848559 ]
 [2.7638555]
 [2.8751445]]"
