,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
154,4,26,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'IRBOND']",-0.2856,0.1532,0.0497,3.2615
155,4,27,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'XINJIAN']",-6.519,0.4382,0.1495,3.2228
156,4,28,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'ERSHOU']",-1.8626,0.2465,0.0815,3.2074
157,4,29,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'SPOT']",-5.8799,0.4083,0.1387,3.4444
158,4,30,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'IRBOND']",-1.1798,0.2133,0.0723,3.2904
159,4,31,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'ERSHOU']",-5.9417,0.3926,0.1302,3.3078
160,4,32,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'SPOT']",-2.8066,0.2539,0.082,3.3197
161,4,33,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'IRBOND']",0.2292,0.1191,0.0392,3.3003
162,4,34,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU', 'SPOT']",-7.4891,0.4818,0.1632,2.6889
163,4,35,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU', 'IRBOND']",0.2504,0.1299,0.0438,2.9711
164,4,36,"['date', 'CHN10', 'INDU', 'PMI', 'SPOT', 'IRBOND']",0.0772,0.1446,0.0482,2.7368
165,4,37,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'XINJIAN']",-10.4341,0.5536,0.189,2.7642
166,4,38,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'ERSHOU']",-3.396,0.3182,0.1088,3.3917
167,4,39,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'SPOT']",-14.6552,0.6485,0.2196,3.3777
168,4,40,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'IRBOND']",-0.1908,0.161,0.053,3.3664
169,4,41,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'ERSHOU']",-6.7214,0.4453,0.1493,3.3061
170,4,42,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'SPOT']",-18.5808,0.7143,0.2439,3.3627
171,4,43,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'IRBOND']",-2.4703,0.3028,0.1008,3.3058
172,4,44,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU', 'SPOT']",-11.4027,0.5782,0.1929,3.3554
173,4,45,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU', 'IRBOND']",-0.7763,0.1684,0.0543,3.2799
174,4,46,"['date', 'CHN10', 'INDU', 'OECD', 'SPOT', 'IRBOND']",-4.9196,0.3467,0.1127,3.3489
175,4,47,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'ERSHOU']",-2.2304,0.2625,0.0912,3.6151
176,4,48,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'SPOT']",-23.7119,0.8229,0.2792,2.8
177,4,49,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'IRBOND']",-0.6086,0.1657,0.0533,2.7864
178,4,50,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU', 'SPOT']",-14.4166,0.6393,0.2179,2.7615
179,4,51,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU', 'IRBOND']",-0.3253,0.1806,0.0606,2.9697
