,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
114,3,70,"['date', 'CHN10', 'OECD', 'XINJIAN', 'SPOT']",,,,
115,3,71,"['date', 'CHN10', 'OECD', 'XINJIAN', 'IRBOND']",,,,
116,3,72,"['date', 'CHN10', 'OECD', 'ERSHOU', 'SPOT']",,,,
117,3,73,"['date', 'CHN10', 'OECD', 'ERSHOU', 'IRBOND']",,,,
118,3,74,"['date', 'CHN10', 'OECD', 'SPOT', 'IRBOND']",,,,
119,3,75,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
120,3,76,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
121,3,77,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
122,3,78,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'SPOT']",,,,
123,3,79,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'IRBOND']",,,,
124,3,80,"['date', 'CHN10', 'JIANZHU', 'SPOT', 'IRBOND']",,,,
125,3,81,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
126,3,82,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
127,3,83,"['date', 'CHN10', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
128,3,84,"['date', 'CHN10', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
129,4,1,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD']",,,,
130,4,2,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU']",,,,
131,4,3,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'XINJIAN']",,,,
132,4,4,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'ERSHOU']",,,,
133,4,5,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'SPOT']",,,,
134,4,6,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'IRBOND']",,,,
135,4,7,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'JIANZHU']",,,,
136,4,8,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'XINJIAN']",,,,
137,4,9,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'ERSHOU']",,,,
138,4,10,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'SPOT']",,,,
139,4,11,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'IRBOND']",,,,
140,4,12,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'XINJIAN']",,,,
141,4,13,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'ERSHOU']",,,,
142,4,14,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'SPOT']",,,,
143,4,15,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'IRBOND']",,,,
144,4,16,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN', 'ERSHOU']",,,,
145,4,17,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN', 'SPOT']",,,,
146,4,18,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN', 'IRBOND']",,,,
147,4,19,"['date', 'CHN10', 'INDU', 'PPI', 'ERSHOU', 'SPOT']",,,,
148,4,20,"['date', 'CHN10', 'INDU', 'PPI', 'ERSHOU', 'IRBOND']",,,,
149,4,21,"['date', 'CHN10', 'INDU', 'PPI', 'SPOT', 'IRBOND']",,,,
150,4,22,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'JIANZHU']",,,,
151,4,23,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'XINJIAN']",,,,
152,4,24,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'ERSHOU']",,,,
153,4,25,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'SPOT']",,,,
154,4,26,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'IRBOND']",,,,
155,4,27,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'XINJIAN']",,,,
156,4,28,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'ERSHOU']",,,,
157,4,29,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'SPOT']",,,,
